id,hip,hd,hr,gl,bf,proper,ra,dec,dist,mag,absmag,spect,ci,bayer,flam,con,lum
9814,9836,12869,613,,Kap Ari,,2.109423,22.648317,55.6793,5.03,1.302,A2m,0.121,Kap,12,Ari,26.2542731899
9861,9884,12929,617,Gl 84.3,Alp Ari,Hamal,2.119555,23.462423,20.1776,2.01,0.486,K2III,1.151,Alp,13,Ari,55.6672798151
9954,9977,13041,620,,,,2.141454,37.859077,58.6854,4.78,0.937,A5IV-V,0.12,,58,And,36.74514792
9967,9990,12953,618,,,,2.144606,58.423601,100000,5.66,-14.34,A1Ia,0.595,,,Per,47424198.5260244
10011,10035,13336,632,,,,2.152584,-43.516596,159.7444,5.84,-0.177,K1III,1.197,,,Phe,102.5179704826
10030,10053,13174,623,,,,2.157036,25.939892,88.4956,4.98,0.245,F2III,0.339,,14,Ari,69.5024317589
10041,10064,13161,622,,Bet Tri,,2.159058,34.987297,38.8954,3,0.051,A5III,0.14,Bet,4,Tri,83.0998041044
10133,10155,13325,631,,,,2.177109,19.500338,171.2329,5.68,-0.488,M3III,1.641,,15,Ari,136.5211695066
10189,10212,13421,635,,,,2.189189,8.569805,40.7166,5.64,2.591,G0IV,0.569,,64,Cet,8.0094003053
10211,10234,13468,639,,,,2.193287,-1.825429,119.0476,5.94,0.561,G9III:,0.967,,63,Cet,51.9517283011
10256,10280,13480,642,,,,2.206191,30.303067,89.1266,4.94,0.19,F5V comp SB,0.77,,6,Tri,73.1139083483
10272,10296,13522,644,,,,2.210427,24.167778,228.833,5.96,-0.838,K0,1.366,,,Ari,188.4516741722
10281,10305,13612,650,Gl 87.1A,,,2.213206,-2.393637,39.6983,5.65,2.656,F8V,0.546,,66,Cet,7.543970822
10282,10306,13555,646,GJ 1043,Eta Ari,,2.213355,21.210993,28.8684,5.23,2.928,F5V,0.457,Eta,17,Ari,5.8721886597
10296,10320,13709,652,Gl 89,Mu  For,,2.21513,-30.723825,98.2318,5.27,0.309,A0V,-0.013,Mu,,For,65.5239394016
10300,10324,13611,649,,Xi 1 Cet,,2.216665,8.846717,117.5088,4.36,-0.99,G8II:,0.878,Xi-1,65,Cet,216.770410482
10302,10326,13692,651,,,,2.21694,-21.000137,106.383,5.86,0.726,K0III,1.006,,,Cet,44.6272370762
10304,10328,13596,648,,,,2.217584,15.27986,146.8429,5.72,-0.114,M0III,1.551,,19,Ari,96.7386449969
10316,10340,13520,643,,,,2.220369,44.231652,162.6016,4.84,-1.216,K4III,1.476,,60,And,266.9316063624
10342,10366,13530,645,,,,2.226728,51.065818,64.9773,5.31,1.246,G8III:var,0.926,,6,Per,27.6439437122
10394,10418,14141,667,,Pi 1 Hyi,,2.237366,-67.841441,238.0952,5.57,-1.314,M1III,1.556,Pi-1,,Hyi,292.1460373877
10416,10440,13940,659,,,,2.242208,-41.166765,105.7082,5.91,0.789,G9III,0.965,,,Phe,42.1114310436
10489,10513,14287,678,,Pi 2 Hyi,,2.25794,-67.746366,149.7006,5.67,-0.206,K2III,1.306,Pi-2,,Hyi,105.2931212843
10510,10535,13872,657,,,,2.261884,25.043043,51.0725,5.57,2.029,F6V,0.52,,21,Ari,13.4400226308
10517,10540,13871,656,,,,2.262789,25.782937,42.1053,5.79,2.668,F6IV-V,0.439,,20,Ari,7.4610508519
10535,10559,13869,655,,,,2.265635,33.358895,86.0585,5.25,0.576,A0V,-0.004,,7,Tri,51.2389238665
10578,10602,14228,674,,Phi Eri,,2.275154,-51.512165,47.1254,3.56,0.194,B8IV-V,-0.12,Phi,,Eri,72.8450423292
10618,10642,14129,666,,,,2.283068,-6.422116,102.0408,5.51,0.466,G8III,0.962,,67,Cet,56.7022118161
10620,10644,13974,660,Gl 92,Del Tri,,2.284191,34.224231,10.784,4.84,4.676,G0V,0.607,Del,8,Tri,1.1738159325
10645,10670,14055,664,,Gam Tri,,2.288573,33.847194,34.4353,4.03,1.345,A1Vnn,0.019,Gam,9,Tri,25.2348077248
10692,10718,13982,661,,,,2.29996,57.89982,125.9446,5.75,0.249,K3III,1.175,,8,Per,69.2468464323
10697,10723,14214,672,,,,2.3004,1.757802,24.3546,5.6,3.667,G0.5IV,0.588,,,Cet,2.9730348497
10703,10729,13994,662,,,,2.301275,57.516321,251.2563,5.99,-1.011,G7III,1.039,,7,Per,221.0039317349
10706,10732,14191,669,,The Ari,,2.302094,19.901164,137.1742,5.58,-0.106,A1Vn,0.011,The,22,Ari,96.0284679209
10766,10793,14252,675,,,,2.315831,28.642674,115.4734,5.29,-0.022,A2V,0.037,,10,Tri,88.8791719885
10793,10819,14212,670,,,,2.321337,47.379973,75.358,5.31,0.924,A1V,0.006,,62,And,37.1877583325
10845,10871,14641,688,,,,2.331739,-55.944796,189.0359,5.81,-0.573,K5III,1.57,,,Hor,147.6386277754
10918,10944,14392,682,,,,2.349499,50.151466,120.3369,5.57,0.168,B9p Si,-0.089,,63,And,74.6105085193
10975,11001,15008,705,Gl 97.1,Del Hyi,,2.362498,-68.659418,42.8266,4.08,0.921,A3V,0.034,Del,,Hyi,37.2906539962
10995,11021,14652,689,,,,2.36573,0.395675,330.033,5.29,-2.303,M2III,1.648,,69,Cet,726.4404185925
11003,11029,14691,692,,,,2.367092,-10.777534,29.656,5.43,3.069,F0V,0.364,,,Cet,5.157034063
11007,11033,14728,693,,,,2.368051,-17.662169,135.6852,5.89,0.227,K2III,1.231,,,Cet,70.6642900425
11020,11046,14690,691,,,,2.37011,-0.884852,80.1282,5.42,0.901,F0Vn,0.335,,70,Cet,37.9839390155
11034,11060,14489,685,,,,2.372621,55.845653,100000,5.16,-14.84,A2Ia,0.369,,9,Per,75162289.4018205
11046,11072,14802,695,Gl 97,Kap For,,2.375704,-23.816326,21.9635,5.19,3.481,G2V,0.608,Kap,,For,3.5285802583
11064,11090,14622,687,,,,2.380644,41.396297,47.0146,5.81,2.449,F0III-IV,0.289,,,And,9.1285121933
11069,11095,15248,715,,Kap Hyi,,2.38123,-73.645792,97.2763,5.99,1.05,K0III,1.088,Kap,,Hyi,33.1131121483
11075,11102,14943,701,,,,2.381852,-51.092129,60.8643,5.9,1.978,A5V,0.213,,,Eri,14.0863994636
11193,11220,14770,694,,,,2.406919,50.006546,122.399,5.19,-0.249,G8III,0.979,,64,And,109.5468767334
11222,11249,14951,702,,Xi  Ari,,2.413627,10.610565,267.3797,5.48,-1.656,B7IV,-0.098,Xi,24,Ari,400.313282178
11231,11258,15233,714,,Lam Hor,,2.414987,-60.311947,49.3827,5.36,1.892,F2III,0.395,Lam,,Hor,15.2475476766
11286,11313,14872,699,,,,2.42706,50.278631,113.2503,4.73,-0.54,K4III,1.532,,65,And,143.2187899274
11318,11345,15130,708,,Rho Cet,,2.432501,-12.29048,139.8601,4.88,-0.848,A0V,-0.027,Rho,72,Cet,190.1953960442
11321,11348,15144,710,,,,2.433431,-15.341247,77.0416,5.88,1.446,Ap SrCrEu,0.116,,,Cet,22.9932308702
11354,11381,15220,713,,,,2.443115,-20.042617,84.1043,5.89,1.266,K2III,1.247,,,Cet,27.1393848764
11380,11407,15371,721,,Kap Eri,,2.449755,-47.70384,155.7632,4.24,-1.722,B5IV,-0.136,Kap,,Eri,425.4024629441
11405,11432,15176,712,,,,2.457715,31.80128,85.2515,5.55,0.896,K1III:,1.114,,11,Tri,38.1592649119
11449,11477,15427,724,,Phi For,,2.467139,-33.811039,46.5983,5.13,1.788,A2/A3V,0.089,Phi,,For,16.7803107829
11457,11484,15318,718,,Xi 2 Cet,,2.469317,8.460054,59.2066,4.3,0.438,B9III,-0.053,Xi-2,73,Cet,58.1835211048
11459,11486,15257,717,,,,2.469439,29.66933,49.8256,5.29,1.803,F0III,0.311,,12,Tri,16.5500762877
11521,11548,15335,720,Gl 99.1,,,2.480139,29.93176,31.407,5.89,3.405,G0V,0.591,,13,Tri,3.7844258472
11542,11569,15089,707,,Iot Cas,,2.484437,67.402474,40.7332,4.46,1.41,A5p Sr,0.153,Iot,,Cas,23.7684028662
11643,11670,15524,728,,,,2.508986,25.235036,51.7598,5.88,2.31,F6IV,0.412,,,Ari,10.3752841582
11710,11738,15694,737,Wo 9083,,,2.525027,2.267182,140.8451,5.27,-0.474,K3III,1.271,,,Cet,134.7721013851
11729,11757,16522,776,,Mu  Hyi,,2.527834,-79.109382,87.0322,5.27,0.572,G4III,0.981,Mu,,Hyi,51.4280431949
11734,11767,8890,424,,Alp UMi,Polaris,2.52975,89.264109,132.626,1.97,-3.643,F7:Ib-IIv SB,0.636,Alp,1,UMi,2495.7437948316
11755,11783,15798,740,,Sig Cet,,2.534786,-15.244677,26.6951,4.74,2.608,F5V,0.454,Sig,76,Cet,7.8849691775
11756,11784,15656,736,,,,2.535045,36.147271,132.8021,5.15,-0.466,K5III,1.472,,14,Tri,133.7827133605
11763,11791,15779,739,,,,2.53595,-1.034896,81.4332,5.36,0.806,G3III:,1.004,,75,Cet,41.4572031787
11811,11840,15755,738,,,,2.547952,34.54241,83.2639,5.84,1.238,K0III,1.083,,,Tri,27.8483840781
11838,11867,15975,744,,Lam 1 For,,2.551952,-34.649967,111.8568,5.91,0.667,K0/K1III,1.064,Lam-1,,For,47.119426942
11888,11918,16046,749,,Ome For,,2.564085,-28.232343,148.368,4.96,-0.897,B9V,-0.05,Ome,,For,198.9756811091
11971,12002,16074,752,,,,2.578507,-7.859445,140.647,5.74,-0.001,K4III,1.393,,77,Cet,87.1766146602
12041,12072,16028,748,,,,2.594095,37.312263,191.2046,5.72,-0.687,K4III,1.389,,,And,163.9834427627
12055,12086,16058,750,,,,2.596336,34.687558,193.7984,5.38,-1.057,M3III,1.652,,15,Tri,230.5685136947
12062,12093,16161,754,,Nu  Cet,,2.597909,5.593246,104.2753,4.87,-0.221,G8III,0.88,Nu,78,Cet,106.75789451
12075,12107,16212,759,,,,2.600013,-7.831597,142.6534,5.53,-0.241,M0III,1.607,,80,Cet,108.7426719546
12082,12114,16160,753,Gl 105A,,268 G. Cet,2.601357,6.88687,7.1803,5.79,6.509,K3V,0.918,,,Cet,0.2169701554
12090,12122,16307,767,,Iot 1 For,,2.602574,-30.044978,178.5714,5.74,-0.519,G8/K0III,1.017,Iot-1,,For,140.4753102697
12115,12148,16247,766,,,,2.609742,7.730026,90.7441,5.81,1.021,K0III:,1.04,,,Cet,34.0094806512
12121,12153,16234,763,,,,2.610531,12.447639,34.7343,5.64,2.936,F7V,0.516,,31,Ari,5.8290797887
12149,12181,16176,756,,,,2.615879,38.733581,54.1712,5.91,2.241,F5V,0.502,,,And,11.0560501504
12154,12186,16417,772,Gl 105.1,Lam 2 For,,2.616281,-34.577977,25.7798,5.78,3.724,G1V,0.653,Lam-2,,For,2.8209799537
12193,12225,16555,778,,Eta Hor,,2.623425,-52.543086,45.5581,5.3,2.007,A6V,0.289,Eta,,Hor,13.7151322594
12207,12239,16024,747,,,,2.626676,65.745336,283.2861,5.8,-1.461,K5III,1.561,,,Cas,334.502986826
12215,12247,16400,771,,,,2.628278,-3.396175,92.5069,5.65,0.819,G5III:,1.021,,81,Cet,40.963777637
12241,12273,15920,743,,,,2.633909,72.818252,78.4314,5.17,0.698,G8III,0.896,,,Cas,45.7930953152
12256,12288,16538,777,,Iot 2 For,,2.638515,-30.194062,33.9443,5.84,3.186,F5V,0.476,Iot-2,,For,4.6302026586
12300,12332,16432,773,,Nu  Ari,,2.646943,21.961408,103.3058,5.45,0.379,A7V,0.168,Nu,32,Ari,61.4327561271
12355,12387,16582,779,,Del Cet,,2.658044,0.328511,199.2032,4.08,-2.416,B2IV,-0.212,Del,82,Cet,806.1205638639
12357,12390,16620,781,Gl 105.4A,Eps Cet,,2.659398,-11.872156,21.4823,4.83,3.17,F5V,0.447,Eps,83,Cet,4.6989410861
